,city,school_name,sector,school_subclass,curricular_class
475,quezon,quezon city christian academy,private,sectarian,all offering (k to 12)
476,quezon,sacred heart academy of la loma,private,non-sectarian,all offering (k to 12)
477,quezon,st. theresa's college,private,sectarian,all offering (k to 12)
478,quezon,siena college quezon city,private,sectarian,all offering (k to 12)
479,quezon,"glendale school, inc.",private,non-sectarian,all offering (k to 12)
480,quezon,ama computer learning center commonwealth,private,non-sectarian,purely shs
481,quezon,golden values school,private,sectarian,purely es
482,quezon,datamex institute of computer technology-lagro,private,sectarian,purely shs
483,quezon,"gateways institute of science and technology, inc. (shs vp)",private,non-sectarian,purely shs
484,quezon,st. dominic institute (fairview) inc.,private,non-sectarian,purely shs
485,quezon,asian institute of science and technology - fairview,private,sectarian,purely shs
486,quezon,"ejist-valenzuela, inc.",private,sectarian,purely shs
487,quezon,"philippine rehabilitation institute foundation, inc.",private,sectarian,purely shs
488,quezon,"asia pacific school of arts and sciences, inc.",private,non-sectarian,purely shs
489,quezon,"wordlab school, inc.",private,sectarian,all offering (k to 12)
490,quezon,montessori professional college- lagro,private,sectarian,purely shs
491,quezon,montessori professional college- munoz,private,sectarian,purely shs
492,quezon,"marymount child development center, inc",private,sectarian,purely jhs
493,quezon,"national college of business and arts, inc.",private,sectarian,purely shs
494,quezon,virgen de guadalupe college of science and technology,private,sectarian,purely shs
495,quezon,world citi colleges,private,sectarian,purely shs
496,quezon,"south east-asia institute of trade and technology, inc.",private,sectarian,purely shs
497,quezon,young minds learning center,private,non-sectarian,purely es
498,quezon,jbest school of technology and practical skills inc.,private,non-sectarian,purely shs
499,quezon,apple tree integrated school,private,non-sectarian,purely es
500,quezon,light house christian academy foundation inc.,private,non-sectarian,purely es
501,quezon,"creative kidzone learning center, inc.",private,non-sectarian,purely es
502,quezon,our lady of lourdes kindergarten school,private,non-sectarian,purely es
503,quezon,"center for developmental intervention foundation, inc.",private,non-sectarian,purely es
504,quezon,"cambridge banawe child development center, inc.",private,non-sectarian,purely es
505,quezon,"golden link college foundation, inc.",private,non-sectarian,purely es
506,quezon,"pmi colleges, inc.",private,non-sectarian,purely shs
507,quezon,"philippine cultural college, inc.",private,non-sectarian,purely shs
508,quezon,"salvacion child development center, inc.",private,non-sectarian,purely es
509,quezon,"saint paul educational center bago-bantay, inc.",private,non-sectarian,purely es
510,quezon,"saint paul educational center bago-bantay, inc.",private,non-sectarian,purely es
511,quezon,"saint paul educational center bago-bantay, inc.",private,non-sectarian,purely es
512,quezon,minds specialists school inc.,private,non-sectarian,purely es
513,quezon,st. matthew hospitality and technology institute (smhati) inc.,private,non-sectarian,purely shs
514,quezon,"brilliant kids christian child development center, inc.",private,non-sectarian,purely es
515,quezon,electron college of technical education corporation,private,non-sectarian,purely shs
516,quezon,electron college of technical education corporation,private,non-sectarian,purely shs
517,quezon,"the child's world- a growing center, inc.",private,non-sectarian,purely es
518,quezon,nu fairview incorporated,private,non-sectarian,purely shs
519,quezon,"the child's world - a growing center, inc.",private,non-sectarian,purely es
520,quezon,manila center adventist elementary school,private,non-sectarian,purely es
521,quezon,holy spirit child development center,private,non-sectarian,purely es
522,quezon,"wisdom light christian academy, inc.",private,non-sectarian,purely es
523,quezon,"bresee hope academy, inc.",private,non-sectarian,purely es
524,quezon,cbc-child learning center,private,non-sectarian,purely es
525,quezon,mary liane's school for basic education inc.,private,non-sectarian,all offering (k to 12)
526,quezon,"saint therese learning academy of quezon city, inc.",private,non-sectarian,purely es
527,quezon,up integrated school,sucs/lucs,suc managed,all offering (k to 12)
528,quezon,dalupan es,public,deped managed,purely es
529,quezon,cong. reynaldo a. calalay mem. sch. (damayan es),public,deped managed,purely es
530,quezon,masambong elementary school,public,deped managed,purely es
531,quezon,san francisco es,public,deped managed,purely es
532,quezon,"sergio osmena, sr. hs",public,deped managed,purely jhs
533,quezon,masambong hs,public,deped managed,purely jhs
534,quezon,philadelphia high school,private,non-sectarian,all offering (k to 12)
535,quezon,"our lady of montecelli learning center, inc",private,sectarian,purely es
536,quezon,"college of arts and sciences of asia and the pacific -quezon city, inc.",private,non-sectarian,purely shs
537,quezon,la loma baptist christian academy inc.,private,sectarian,es and jhs (k to 10)
538,quezon,pace academy,private,non-sectarian,all offering (k to 12)
539,quezon,early achievers' learning center inc.,private,non-sectarian,purely es
540,quezon,perpetual help learning academy of qc.,private,non-sectarian,es and jhs (k to 10)
541,quezon,daughters of st. dominic school,private,sectarian,purely es
542,quezon,"the great glen learning academy, inc.",private,non-sectarian,purely es
543,quezon,"shield of life montessori school, inc.",private,non-sectarian,purely es
544,quezon,u.p.  child development center,sucs/lucs,suc managed,purely es
545,quezon,bayanihan elementary school,public,deped managed,purely es
546,quezon,bungad es,public,deped managed,purely es
547,quezon,esteban abada es,public,deped managed,purely es
548,quezon,paltok es,public,deped managed,purely es
549,quezon,sinag-tala es,public,deped managed,purely es
550,quezon,judge juan luna hs,public,deped managed,jhs with shs
551,quezon,"eulogio rodriguez, jr. hs",public,deped managed,jhs with shs
552,quezon,shs within e. abada es,public,deped managed,purely shs
553,quezon,good samaritan christian school,private,non-sectarian,purely es
554,quezon,hope christian academy,private,non-sectarian,all offering (k to 12)
555,quezon,infant jesus learning academy,private,non-sectarian,es and jhs (k to 10)
556,quezon,montessori west school,private,non-sectarian,purely es
557,quezon,pwu-jose abad santos memorial school,private,non-sectarian,all offering (k to 12)
558,quezon,st. claire school basic education inc.,private,non-sectarian,all offering (k to 12)
559,quezon,"st. vincent school of quezon city, inc.",private,non-sectarian,all offering (k to 12)
560,quezon,"j. christmont school, inc.",private,non-sectarian,purely es
561,quezon,"little montessori de nuestra sra. salvacion, inc.",private,non-sectarian,purely es
562,quezon,electron college of technical education,private,non-sectarian,purely shs
563,quezon,goodstart educational center inc.,private,non-sectarian,purely es
564,quezon,"headstart montessori school, inc.",private,non-sectarian,purely es
565,quezon,gerber educare center,private,non-sectarian,purely es
566,quezon,fourthwatch maranatha christian academy of quezon city inc.,private,non-sectarian,purely es
567,quezon,bago bantay es,public,deped managed,purely es
568,quezon,san antonio es,public,deped managed,purely es
569,quezon,toro hills es,public,deped managed,purely es
570,quezon,pugad lawin hs,public,deped managed,purely jhs
571,quezon,shs within toro hills es,public,deped managed,purely shs
572,quezon,st. therese learning center,private,non-sectarian,es and jhs (k to 10)
573,quezon,"karamay christian school, inc.",private,non-sectarian,purely es
574,quezon,"ginger bread house of learning, inc.",private,non-sectarian,purely es
575,quezon,"intellikids child development learning center, inc.",private,non-sectarian,purely es
576,quezon,"family partner child learning house, inc.",private,non-sectarian,purely es
577,quezon,macquarie preparatory school inc.,private,non-sectarian,purely es
578,quezon,marriott school,private,non-sectarian,all offering (k to 12)
579,quezon,"j.p. sioson general hospital and colleges, inc.",private,non-sectarian,jhs with shs
580,quezon,"elyseum christian school, inc.",private,non-sectarian,es and jhs (k to 10)
581,quezon,divine grace center of studies-qc,private,non-sectarian,es and jhs (k to 10)
582,quezon,living hope academe of quezon city,private,non-sectarian,purely es
583,quezon,"john dewey school for children, inc.",private,non-sectarian,es and jhs (k to 10)
584,quezon,"sunrise christian academy, inc.",private,non-sectarian,purely es
585,quezon,mia angela montessori school corporation,private,non-sectarian,purely es
586,quezon,niño learning center inc,private,non-sectarian,purely es
587,quezon,bagong pag-asa elementary school,public,deped managed,purely es
588,quezon,mines elementary school,public,deped managed,purely es
589,quezon,project 6 es,public,deped managed,purely es
590,quezon,sto. cristo es,public,deped managed,purely es
591,quezon,ernesto rondon hs,public,deped managed,jhs with shs
592,quezon,san francisco high school,public,deped managed,jhs with shs
593,quezon,quezon city science hs,public,deped managed,jhs with shs
594,quezon,philippine science high school main campus - metro manila,public,dost managed,jhs with shs
595,quezon,quezon city academy foundation inc.,private,non-sectarian,jhs with shs
596,quezon,sto. niño parochial school,private,sectarian,all offering (k to 12)
597,quezon,colegio de san lorenzo,private,non-sectarian,all offering (k to 12)
598,quezon,ama computer learning center - cubao,private,non-sectarian,purely shs
599,quezon,ste. anne de beaupre school,private,non-sectarian,all offering (k to 12)
600,quezon,"accesscomputer and technical colleges (novaliches, q.c.) inc.",private,sectarian,purely shs
601,quezon,"bright tree kindercare, inc.",private,non-sectarian,purely es
602,quezon,our lady of la salette school of quezon city inc.,private,non-sectarian,purely es
603,quezon,blue bonino academy incorporated,private,non-sectarian,purely es
604,quezon,creative minds learning institute montessori inc.,private,non-sectarian,purely es
605,quezon,"st. jeanne learning center, inc.",private,non-sectarian,purely es
606,quezon,our lady of hope parochial school,private,sectarian,purely es
607,quezon,glaisen school,private,sectarian,purely es
608,quezon,st. pascual integrated school inc.,private,non-sectarian,es and jhs (k to 10)
609,quezon,saint paul educational center,private,non-sectarian,purely es
610,quezon,academia de bellamino inc.,private,non-sectarian,purely es
611,quezon,"creative explorers educational foundation, inc",private,non-sectarian,purely es
612,quezon,bagong silangan elementary school,public,deped managed,purely es
613,quezon,pres. corazon c. aquino e/s,public,deped managed,purely es
614,quezon,commonwealth es,public,deped managed,purely es
615,quezon,dona juana es,public,deped managed,purely es
616,quezon,san diego elementary school,public,deped managed,purely es
617,quezon,"benigno s. aquino, jr. elementary school",public,deped managed,purely es
618,quezon,culiat high school,public,deped managed,jhs with shs
619,quezon,tandang sora nhs,public,deped managed,purely jhs
620,quezon,ismael mathay sr. high school,public,deped managed,jhs with shs
621,quezon,new era high school,public,deped managed,jhs with shs
622,quezon,tandang sora senior high school,public,deped managed,purely shs
623,quezon,talipapa senior high school,public,deped managed,purely shs
624,quezon,pntc colleges,private,non-sectarian,purely shs
625,quezon,st. patrick school,private,non-sectarian,all offering (k to 12)
626,quezon,"coramdeo christian academy, inc.",private,non-sectarian,purely es
627,quezon,diliman christian academy,private,non-sectarian,es and jhs (k to 10)
628,quezon,dr. carlos s. lanting college,private,non-sectarian,all offering (k to 12)
629,quezon,grace flous school - branch (pasong tamo),private,non-sectarian,es and jhs (k to 10)
630,quezon,shining hope academy,private,non-sectarian,es and jhs (k to 10)
631,quezon,jec christian school,private,non-sectarian,es and jhs (k to 10)
632,quezon,"marymount school of quezon city, inc.",private,non-sectarian,es and jhs (k to 10)
633,quezon,new era university,private,non-sectarian,all offering (k to 12)
634,quezon,"st anthony academy of quezon city, inc.",private,non-sectarian,all offering (k to 12)
635,quezon,st. nicholas academy,private,non-sectarian,es and jhs (k to 10)
636,quezon,college of st. catherine quezon city,private,non-sectarian,all offering (k to 12)
637,quezon,villagers montessori college,private,non-sectarian,all offering (k to 12)
638,quezon,"goodwill academy, inc.",private,non-sectarian,es and jhs (k to 10)
639,quezon,odb montessori school of novaliches,private,non-sectarian,all offering (k to 12)
640,quezon,springfield school of novaliches,private,non-sectarian,all offering (k to 12)
641,quezon,st. john of beverley school,private,non-sectarian,all offering (k to 12)
642,quezon,"edlen learning institute, inc.",private,non-sectarian,es and jhs (k to 10)
643,quezon,"pmsa learning school, inc.",private,non-sectarian,purely es
644,quezon,"smart kid development center, inc.",private,non-sectarian,purely es
645,quezon,san antonio de padua catholic school of batasan inc.,private,non-sectarian,all offering (k to 12)
646,quezon,children's mission philippines hills of grace foundation inc.,private,non-sectarian,purely es
647,quezon,"ijediyah learning center, inc.",private,non-sectarian,purely es
648,quezon,"top tots academy, inc.",private,non-sectarian,purely es
649,quezon,"mighty eagles preparatory school, inc.",private,non-sectarian,purely es
650,quezon,hands that care academic intervention center inc.,private,non-sectarian,purely es
651,quezon,acelina school inc.,private,non-sectarian,all offering (k to 12)
652,quezon,carmel child development & learning center,private,non-sectarian,purely es
653,quezon,"coronado's school of quezon city, inc",private,non-sectarian,all offering (k to 12)
654,quezon,"st. mark's integrated school, inc.",private,non-sectarian,es and jhs (k to 10)
655,quezon,pax christi learning castor of quezon city,private,non-sectarian,purely es
656,quezon,jeshua kinderland christian academy,private,non-sectarian,purely es
657,quezon,maria montessori school of quezon city,private,non-sectarian,all offering (k to 12)
658,quezon,"karis christian academy foundation, inc.",private,non-sectarian,purely es
659,quezon,"greencrest learning center, inc.",private,non-sectarian,purely es
660,quezon,"jcwolim christian school, inc.",private,non-sectarian,purely es
661,quezon,divine mercy learning centre,private,sectarian,purely es
662,quezon,cordis mariae school: a subsidiary cooperative of mabuting pastol multi-pur,private,non-sectarian,es and jhs (k to 10)
663,quezon,"j-priam school, inc.",private,non-sectarian,purely es
664,quezon,"the lord of excellence christian school, inc.",private,non-sectarian,purely es
665,quezon,"torch to the nations international school, inc.",private,non-sectarian,es and jhs (k to 10)
666,quezon,"asia school of arts and sciences, inc.",private,non-sectarian,purely es
667,quezon,gospel christian school inc. (gcsi),private,non-sectarian,purely es
668,quezon,st. matthew de asis school,private,non-sectarian,purely es
669,quezon,quezon city christ is lord academy,private,non-sectarian,es and jhs (k to 10)
670,quezon,"lifegiver educational center, inc.",private,non-sectarian,purely es
671,quezon,mary & child academy of sauyo inc.,private,non-sectarian,es and jhs (k to 10)
672,quezon,little lamb child care & dev't. center,private,non-sectarian,purely es
673,quezon,st. augustine international school,private,non-sectarian,es and jhs (k to 10)
674,quezon,"st. martin bright kids school, inc.",private,non-sectarian,purely es
675,quezon,"little king of kings learning center of novaliches, inc.",private,non-sectarian,purely es
676,quezon,st. jude academy,private,non-sectarian,es and jhs (k to 10)
677,quezon,our lady of peñafrancia academy,private,non-sectarian,purely es
678,quezon,golden rock  preparatory school,private,non-sectarian,purely es
679,quezon,"inventor nurturer academy, inc.",private,non-sectarian,purely es
680,quezon,common-wealth academy,private,non-sectarian,purely es
681,quezon,"commonwealth seventh-day adventist preparatory school, inc",private,non-sectarian,purely es
682,quezon,"clf new life christian school, inc.",private,non-sectarian,purely es
683,quezon,the child of st. anne learning center,private,non-sectarian,purely es
684,quezon,n.s montessori center,private,non-sectarian,purely es
685,quezon,"victoria preparatory school, inc.",private,non-sectarian,purely es
686,quezon,"prince nikki school, inc.",private,non-sectarian,es and jhs (k to 10)
687,quezon,"peter and paul institute of quezon city, inc",private,non-sectarian,purely es
688,quezon,"holy trinity academy of commonwealth quezon city, inc",private,non-sectarian,purely es
689,quezon,aim high learning school,private,non-sectarian,purely es
690,quezon,"vancouver hill preschool, inc",private,non-sectarian,purely es
691,quezon,"estar castle integrated school, inc.",private,non-sectarian,purely es
692,quezon,"don morriss excellent school, inc.",private,non-sectarian,purely es
693,quezon,"benz-on school, inc.",private,non-sectarian,purely es
694,quezon,holy spirit es,public,deped managed,purely es
695,quezon,lupang pangako es,public,deped managed,purely es
696,quezon,manuel l. quezon es,public,deped managed,purely es
697,quezon,melencio m. castelo es,public,deped managed,purely es
698,quezon,payatas b es,public,deped managed,purely es
699,quezon,payatas b annex es,public,deped managed,purely es
700,quezon,payatas c es,public,deped managed,purely es
701,quezon,justice cecilia muñoz palma senior high school,public,deped managed,purely shs
702,quezon,grace christian college,private,non-sectarian,all offering (k to 12)
703,quezon,"child's kingdom of learning in q.c., inc.",private,non-sectarian,purely es
704,quezon,joyful children's learning school of quezon city inc.,private,non-sectarian,purely es
705,quezon,st. vincent school of quezon city,private,non-sectarian,purely es
706,quezon,"victoria school of payatas, inc.",private,non-sectarian,purely es
707,quezon,"st. carmen salles school, inc",private,sectarian,purely es
708,quezon,living streams school of martan inc.,private,non-sectarian,purely es
709,quezon,"de paul payatas day care center, inc.",private,non-sectarian,purely es
710,quezon,"creative institute of science, arts and technology (cisat), inc.",private,non-sectarian,es and jhs (k to 10)
711,quezon,"lord jesus our redeemer christian academy, inc.",private,non-sectarian,purely es
712,quezon,"childs future guided academe, inc.",private,non-sectarian,es and jhs (k to 10)
713,quezon,"zionofpraise academy, inc.",private,non-sectarian,purely es
714,quezon,"perez kids academy of quezon city, inc.",private,non-sectarian,purely es
715,quezon,"jals preparatory school, inc.",private,non-sectarian,purely es
716,quezon,j and j learning center inc.,private,non-sectarian,purely es
717,quezon,"hoscomco academy, inc.",private,non-sectarian,es and jhs (k to 10)
718,quezon,"ilang-ilang education institute of payatas, inc.",private,non-sectarian,purely es
719,quezon,"charis central academy, inc.",private,non-sectarian,es and jhs (k to 10)
720,quezon,"affordable private education center, inc. (apec schools)-doña juana br.",private,non-sectarian,purely jhs
721,quezon,"jelaine academy of quezon city, inc.",private,non-sectarian,purely es
722,quezon,bagumbayan es,public,deped managed,purely es
723,quezon,balara es,public,deped managed,purely es
724,quezon,libis es,public,deped managed,purely es
725,quezon,old balara elementary school,public,deped managed,purely es
726,quezon,san bartolome hs,public,deped managed,jhs with shs
727,quezon,sauyo hs,public,deped managed,purely jhs
728,quezon,emilio jacinto national high school,public,deped managed,jhs with shs
729,quezon,blessed sacrament catholic school,private,sectarian,all offering (k to 12)
730,quezon,st. faustina school of quezon city,private,non-sectarian,es and jhs (k to 10)
731,quezon,"colegio de san bartolome de novaliches, inc.",private,non-sectarian,all offering (k to 12)
732,quezon,grace hope learning school foundation,private,non-sectarian,es and jhs (k to 10)
733,quezon,kings montessori school,private,non-sectarian,all offering (k to 12)
734,quezon,"little shepherd child development center,",private,non-sectarian,purely es
735,quezon,marian school of quezon city,private,non-sectarian,all offering (k to 12)
736,quezon,nativity school of novaliches,private,non-sectarian,purely es
737,quezon,richland montessori school,private,non-sectarian,purely es
738,quezon,super child academy,private,non-sectarian,all offering (k to 12)
739,quezon,diliman preparatory school - annex,private,non-sectarian,purely es
740,quezon,olive grove school,private,non-sectarian,es and jhs (k to 10)
741,quezon,cambridge children's learning and development inc.,private,non-sectarian,purely es
742,quezon,cambridge children's learning and development inc.,private,non-sectarian,purely es
743,quezon,aim school for excellence inc.,private,non-sectarian,es and jhs (k to 10)
744,quezon,"petite graine pre-school, inc.",private,non-sectarian,purely es
745,quezon,"maria lena buhay memorial foundation, inc.",private,non-sectarian,purely es
746,quezon,"thames international school, inc.",private,non-sectarian,purely shs
747,quezon,resurrection catholic school,private,non-sectarian,purely es
748,quezon,"sbms academy, incorporated",private,non-sectarian,es and jhs (k to 10)
749,quezon,jerusalem christisan academy,private,non-sectarian,purely es
750,quezon,"immaculate concepcion  knowledge school (icks) of quezon city, inc.",private,non-sectarian,es and jhs (k to 10)
751,quezon,"britesparks international school, inc.",private,non-sectarian,all offering (k to 12)
752,quezon,"angelique devine grace school of quezon city, inc.",private,non-sectarian,purely es
753,quezon,"holy child academy, inc",private,non-sectarian,es and jhs (k to 10)
754,quezon,saint nicholas of bari school,private,non-sectarian,purely es
755,quezon,"immanuel hope christian academy, inc.",private,non-sectarian,purely es
756,quezon,"paisley garden academe of q.c., inc.",private,non-sectarian,purely es
757,quezon,philippine montessori center,private,non-sectarian,purely es
758,quezon,"blessed kiddie educational center of quezon city, inc.",private,non-sectarian,purely es
759,quezon,"mater christi school, inc",private,non-sectarian,es and jhs (k to 10)
760,quezon,christian city academy,private,non-sectarian,es and jhs (k to 10)
761,quezon,"eclaro academy, inc",private,non-sectarian,all offering (k to 12)
762,quezon,mary the queen college of science and technology inc.,private,non-sectarian,all offering (k to 12)
763,quezon,"universal evangelical christian school (uecs), inc.",private,non-sectarian,all offering (k to 12)
764,quezon,cubao es,public,deped managed,purely es
765,quezon,"eulogio rodriguez, sr. es",public,deped managed,purely es
766,quezon,quirino es,public,deped managed,purely es
767,quezon,novaliches hs,public,deped managed,jhs with shs
768,quezon,sta. lucia hs,public,deped managed,jhs with shs
769,quezon,dona rosario hs,public,deped managed,jhs with shs
770,quezon,grace montessori school of novaliches,private,non-sectarian,es and jhs (k to 10)
771,quezon,holy child academy- main,private,non-sectarian,all offering (k to 12)
772,quezon,maranatha christian academy of novaliches,private,non-sectarian,all offering (k to 12)
773,quezon,sto. nino de novaliches school,private,non-sectarian,es and jhs (k to 10)
774,quezon,"st. jerome school of novaliches, inc.",private,non-sectarian,all offering (k to 12)
775,quezon,"east asia computer center, inc.",private,non-sectarian,all offering (k to 12)
776,quezon,"joyful hands kiddie center of cubao, qc, inc",private,non-sectarian,purely es
777,quezon,st. peter velle technical traning center inc.,private,non-sectarian,purely shs
778,quezon,"st. patrick school of novaliches, inc.",private,non-sectarian,es and jhs (k to 10)
779,quezon,"sto. nino children educational center, inc.",private,non-sectarian,purely es
780,quezon,bloomridge integrated school,private,non-sectarian,es and jhs (k to 10)
781,quezon,kid's abc school of quezon city,private,non-sectarian,purely es
782,quezon,heuin dol world mission christian academy,private,non-sectarian,purely es
783,quezon,"gymnazo christian academy, inc.",private,non-sectarian,purely es
784,quezon,"lifegiverville academy, inc.",private,non-sectarian,purely es
785,quezon,"centro pambata school, inc.",private,non-sectarian,purely es
786,quezon,"learn and play child development and study center, inc.",private,non-sectarian,purely es
787,quezon,"clarion school international institute, inc.",private,non-sectarian,purely es
788,quezon,batino elementary school (sped center),public,deped managed,purely es
789,quezon,kalantiyaw es,public,deped managed,purely es
790,quezon,project 3 es,public,deped managed,purely es
791,quezon,pura v. kalaw es,public,deped managed,purely es
792,quezon,teodora alonzo elementary school,public,deped managed,purely es
793,quezon,lagro hs,public,deped managed,jhs with shs
794,quezon,justice cecilia muñoz palma high school,public,deped managed,jhs with shs
795,quezon,maligaya hs,public,deped managed,purely jhs
796,quezon,north fairview hs,public,deped managed,jhs with shs
797,quezon,ama computer college-farview,private,non-sectarian,purely shs
798,quezon,miriam college adult education,private,sectarian,purely shs
799,quezon,new england college,private,sectarian,purely shs
800,quezon,golden valley academy,private,non-sectarian,all offering (k to 12)
801,quezon,"international christian school of quezon city, inc.",private,non-sectarian,all offering (k to 12)
802,quezon,little merry hearts montessori center,private,non-sectarian,es and jhs (k to 10)
803,quezon,st. francis divine college,private,non-sectarian,es and jhs (k to 10)
804,quezon,divine grace school,private,non-sectarian,all offering (k to 12)
805,quezon,"ina ng buhay catholic school, inc.",private,sectarian,all offering (k to 12)
806,quezon,mater carmeli school of novaliches,private,sectarian,all offering (k to 12)
807,quezon,"mercedarian school, inc.",private,sectarian,es and jhs (k to 10)
808,quezon,"metro manila college, inc.",private,non-sectarian,all offering (k to 12)
809,quezon,"nyongani school, inc.",private,non-sectarian,es and jhs (k to 10)
810,quezon,our lady of fatima university,private,non-sectarian,all offering (k to 12)
811,quezon,our lady of lourdes college of novaliches,private,non-sectarian,all offering (k to 12)
812,quezon,sacred heart academy of novaliches,private,non-sectarian,all offering (k to 12)
813,quezon,school of st. anthony,private,non-sectarian,all offering (k to 12)
814,quezon,saint francis xavier catholic school,private,sectarian,all offering (k to 12)
815,quezon,st. kevin school,private,non-sectarian,purely es
816,quezon,"st. vincent de paul academy of novaliches, inc.",private,non-sectarian,all offering (k to 12)
817,quezon,covenant of grace school,private,non-sectarian,es and jhs (k to 10)
818,quezon,holy child montessori school of fairview,private,non-sectarian,es and jhs (k to 10)
819,quezon,affordable private education center (apec schools) -new manila br.,private,non-sectarian,jhs with shs
820,quezon,"jbest school of technology and practical skills - lagro, inc.",private,non-sectarian,purely shs
821,quezon,"hands of children school, inc.",private,non-sectarian,purely es
822,quezon,"casa montessori of loyola foundation, inc.",private,non-sectarian,purely es
823,quezon,fonacier montessori inc.,private,non-sectarian,purely es
824,quezon,the steppingstone progressivist school inc.,private,non-sectarian,purely es
825,quezon,"st. mary's school of novaliches, inc.",private,non-sectarian,all offering (k to 12)
826,quezon,another home to grow learning center,private,non-sectarian,purely es
827,quezon,st. mariam thresia school,private,non-sectarian,purely es
828,quezon,sister maria carmela brescia school,private,non-sectarian,purely es
829,quezon,san isidro labrador catholic school of quezon city,private,sectarian,es and jhs (k to 10)
830,quezon,virgen de guadalupe de novaliches,private,non-sectarian,es and jhs (k to 10)
831,quezon,"school of st. maximilian mary kolbe, inc.",private,non-sectarian,purely es
832,quezon,"beulah land christian school of quezon city, inc.",private,non-sectarian,purely es
833,quezon,"the rock learning school of quezon city, inc.",private,non-sectarian,purely es
834,quezon,jean-baptiste of reims college,private,non-sectarian,all offering (k to 12)
835,quezon,"st. joseph school of fairview, inc.",private,non-sectarian,all offering (k to 12)
836,quezon,"atherton school, inc.",private,non-sectarian,es and jhs (k to 10)
837,quezon,our lady of the holy rosary school of fairview,private,sectarian,es and jhs (k to 10)
838,quezon,first mile christian school,private,non-sectarian,all offering (k to 12)
839,quezon,"prime montessori school, inc,",private,non-sectarian,purely es
840,quezon,st. peregrine kiddie school of novaliches,private,non-sectarian,purely es
841,quezon,einstein school for kids,private,non-sectarian,es and jhs (k to 10)
842,quezon,"msa whiz kids academy, inc.",private,non-sectarian,purely es
843,quezon,our lady of lourdes technological college,private,non-sectarian,all offering (k to 12)
844,quezon,"precious gem academy quezon city, inc.",private,non-sectarian,es and jhs (k to 10)
845,quezon,holy child academy - north fairview,private,non-sectarian,es and jhs (k to 10)
846,quezon,"discovery house montessori of quezon city, inc.",private,non-sectarian,purely es
847,quezon,st. john the baptist academy of novaliches inc.,private,non-sectarian,es and jhs (k to 10)
848,quezon,footsteps learning center inc.,private,non-sectarian,purely es
849,quezon,"citadel child learning center, inc",private,non-sectarian,purely es
850,quezon,bannister academy corp.,private,non-sectarian,all offering (k to 12)
851,quezon,camelean academy,private,non-sectarian,purely es
852,quezon,15th avenue elementary school,public,deped managed,purely es
853,quezon,aguinaldo es,public,deped managed,purely es
854,quezon,camarilla es,public,deped managed,purely es
855,quezon,dona josefa e. marcos es,public,deped managed,purely es
856,quezon,fort aguinaldo es,public,deped managed,purely es
857,quezon,batasan hills national hs,public,deped managed,jhs with shs
858,quezon,commonwealth hs,public,deped managed,jhs with shs
859,quezon,bagong silangan hs,public,deped managed,purely jhs
860,quezon,holy spirit national high school,public,deped managed,jhs with shs
861,quezon,"judge feliciano belmonte, sr. hs",public,deped managed,jhs with shs
862,quezon,"handwell kiddies camp pre-school, inc.",private,non-sectarian,purely es
863,quezon,a.s.l.e. learning school of q.c.,private,non-sectarian,purely es
864,quezon,achievers academy of q.c. inc.,private,non-sectarian,purely es
865,quezon,adonai school of the kingdom of q.c.,private,non-sectarian,es and jhs (k to 10)
866,quezon,batasan hills institute of learning inc.,private,non-sectarian,purely es
867,quezon,"bethel christian school of fairview, inc.",private,non-sectarian,all offering (k to 12)
868,quezon,blessed exodus christian academy,private,non-sectarian,purely es
869,quezon,"blessed scalabrini institute, inc.",private,non-sectarian,purely es
870,quezon,capitol hills christian school,private,non-sectarian,all offering (k to 12)
871,quezon,caroline learning center,private,non-sectarian,es and jhs (k to 10)
872,quezon,christian family center school foundation,private,non-sectarian,all offering (k to 12)
873,quezon,"commonwealth adventist elementary  school, inc.",private,non-sectarian,purely es
874,quezon,"covenant presbyterian learning center, inc.",private,non-sectarian,purely es
875,quezon,fairhope academy,private,non-sectarian,all offering (k to 12)
876,quezon,fairview baptist academy,private,non-sectarian,all offering (k to 12)
877,quezon,"foothills christian school, inc.",private,non-sectarian,es and jhs (k to 10)
878,quezon,garden of life school,private,non-sectarian,all offering (k to 12)
879,quezon,gideon school of q.c. inc.,private,non-sectarian,all offering (k to 12)
880,quezon,"golden vineyard school, inc.",private,non-sectarian,es and jhs (k to 10)
881,quezon,good shepherd cathedral school,private,sectarian,all offering (k to 12)
882,quezon,grace flous school - main,private,non-sectarian,es and jhs (k to 10)
883,quezon,great is the lord campbridge christian school inc.,private,non-sectarian,es and jhs (k to 10)
884,quezon,holy rosary school of science and technology,private,non-sectarian,es and jhs (k to 10)
885,quezon,holy spirit of mount carmel sch.- main,private,non-sectarian,es and jhs (k to 10)
886,quezon,holy spirit of mt. carmel shool - holy  spirit annex,private,non-sectarian,es and jhs (k to 10)
887,quezon,jolia christian school,private,non-sectarian,purely es
888,quezon,"jel school, inc.",private,non-sectarian,purely es
889,quezon,"lois charity learning center, inc.",private,non-sectarian,purely es
890,quezon,merry mount preparatory school of quezon city,private,non-sectarian,es and jhs (k to 10)
891,quezon,mother of perpetual help school,private,non-sectarian,all offering (k to 12)
892,quezon,national college of business & arts - fairview annex,private,non-sectarian,all offering (k to 12)
